Family ID	0.638468	0.967384	1.39415	
OG0000013	4.04189e-20	7.87586e-18	5.81453e-16	
OG0000016	1.05768e-10	1.15582e-09	7.64914e-09	
OG0000017	1.99371e-13	1.00051e-11	2.35458e-10	
OG0000018	6.99896e-12	1.25606e-10	1.2414e-09	
OG0000020	4.27572e-12	1.01418e-10	1.33991e-09	
OG0000021	5.65875e-18	8.42391e-16	5.62042e-14	
OG0000023	3.58971e-11	5.85393e-10	5.44299e-09	
OG0000024	1.71282e-06	5.0133e-06	1.0512e-05	
OG0000025	0.000238681	0.000302644	0.000304689	
OG0000026	0.00017259	0.000256487	0.000299627	
OG0000027	2.28842e-05	4.67599e-05	7.22823e-05	
OG0000028	6.41783e-13	2.59948e-11	5.44058e-10	
OG0000030	0.000550116	0.00073242	0.000775391	
OG0000031	0.000416491	0.000576773	0.000638043	
OG0000032	1.85012e-07	7.26337e-07	2.10181e-06	
OG0000033	3.47106e-06	1.06719e-05	2.34991e-05	
OG0000034	0.00142402	0.00156376	0.00144442	
OG0000035	9.50146e-06	2.1362e-05	3.65043e-05	
OG0000036	0.000416491	0.000576773	0.000638043	
OG0000039	0.00534729	0.00501865	0.00398201	
OG0000040	0.00675665	0.00625502	0.00488055	
OG0000041	0.00534729	0.00501865	0.00398201	
OG0000042	0.00675665	0.00625502	0.00488055	
OG0000043	0.00534729	0.00501865	0.00398201	
OG0000044	2.66855e-05	5.7312e-05	9.39502e-05	
OG0000045	9.15773e-05	0.000156571	0.000215585	
OG0000046	0.00898762	0.00822226	0.00631575	
OG0000047	0.00534729	0.00501865	0.00398201	
OG0000048	3.9815e-10	4.50637e-09	3.1847e-08	
OG0000049	0.00898762	0.00822226	0.00631575	
OG0000050	0.00675665	0.00625502	0.00488055	
OG0000052	0.00675665	0.00625502	0.00488055	
OG0000053	0.000112009	0.000169376	0.000208382	
OG0000054	0.00898762	0.00822226	0.00631575	
OG0000055	9.15773e-05	0.000156571	0.000215585	
OG0000056	3.41354e-05	7.17983e-05	0.000114794	
OG0000057	0.00534729	0.00501865	0.00398201	
OG0000058	0.00675665	0.00625502	0.00488055	
OG0000059	0.00534729	0.00501865	0.00398201	
OG0000063	0.116088	0.0723265	0.0400804	
OG0000064	1.28625e-06	4.24706e-06	1.02204e-05	
OG0000065	0.116088	0.0723265	0.0400804	
OG0000066	0.116088	0.0723265	0.0400804	
OG0000067	0.116088	0.0723265	0.0400804	
OG0000068	0.116088	0.0723265	0.0400804	
OG0000069	0.116088	0.0723265	0.0400804	
OG0000070	0.116088	0.0723265	0.0400804	
OG0000071	0.116088	0.0723265	0.0400804	
OG0000072	0.116088	0.0723265	0.0400804	
OG0000073	0.116088	0.0723265	0.0400804	
OG0000074	0.116088	0.0723265	0.0400804	
OG0000075	0.116088	0.0723265	0.0400804	
OG0000076	0.116088	0.0723265	0.0400804	
OG0000077	0.116088	0.0723265	0.0400804	
OG0000079	0.116088	0.0723265	0.0400804	
OG0000080	0.116088	0.0723265	0.0400804	
OG0000081	0.116088	0.0723265	0.0400804	
OG0000082	0.116088	0.0723265	0.0400804	
OG0000083	0.116088	0.0723265	0.0400804	
OG0000084	0.116088	0.0723265	0.0400804	
OG0000085	0.116088	0.0723265	0.0400804	
OG0000086	0.116088	0.0723265	0.0400804	
OG0000087	0.116088	0.0723265	0.0400804	
OG0000088	0.116088	0.0723265	0.0400804	
OG0000089	0.116088	0.0723265	0.0400804	
OG0000090	0.116088	0.0723265	0.0400804	
OG0000091	0.116088	0.0723265	0.0400804	
OG0000092	0.116088	0.0723265	0.0400804	
OG0000093	0.116088	0.0723265	0.0400804	
OG0000094	0.116088	0.0723265	0.0400804	
OG0000095	0.116088	0.0723265	0.0400804	
OG0000096	0.00047811	0.000706351	0.000846428	
OG0000097	0.116088	0.0723265	0.0400804	
OG0000098	0.116088	0.0723265	0.0400804	
OG0000099	0.116088	0.0723265	0.0400804	
OG0000100	0.116088	0.0723265	0.0400804	
OG0000101	0.116088	0.0723265	0.0400804	
OG0000102	0.000579254	0.000826374	0.000948044	
OG0000103	0.116088	0.0723265	0.0400804	
OG0000104	0.116088	0.0723265	0.0400804	
OG0000105	0.116088	0.0723265	0.0400804	
OG0000106	0.116088	0.0723265	0.0400804	
OG0000107	0.116088	0.0723265	0.0400804	
OG0000108	0.116088	0.0723265	0.0400804	
OG0000110	0.000257758	0.00037181	0.000432644	
OG0000111	0.116088	0.0723265	0.0400804	
OG0000112	0.116088	0.0723265	0.0400804	
OG0000113	0.116088	0.0723265	0.0400804	
OG0000114	0.116088	0.0723265	0.0400804	
OG0000115	0.116088	0.0723265	0.0400804	
OG0000116	0.116088	0.0723265	0.0400804	
OG0000117	0.000743208	0.00104095	0.00116825	
OG0000118	0.116088	0.0723265	0.0400804	
OG0000119	0.116088	0.0723265	0.0400804	
OG0000120	0.116088	0.0723265	0.0400804	
